key,"GDP per capita (US$, World Bank)",Life expectancy at birth (years)
ABW,31000.5713798732,76.226
AFG,357.261152798144,65.617
AGO,3598.53669077341,64.246
ALB,7756.96188744253,78.769
AND,42414.0590111349,84.016
ARE,50759.7590190204,80.487
ARG,13962.1894087223,75.806
ARM,6571.97445545099,74.7658536585366
ASM,18017.4589383973,72.752
ATG,20003.3909394099,77.483
AUS,65169.5191118657,83.2
AUT,52336.7725223758,81.2951219512195
AZE,7770.594223351,74.125
BDI,301.832255755105,62.882
BEL,50639.0264882739,81.7487804878049
BEN,1266.42711031904,60.475
BFA,827.330843486661,60.7
BGD,2716.48592780431,74.265
BGR,13999.9113358453,74.1609756097561
BHR,30470.5219276023,80.992
BHS,34957.1613279737,74.491
BIH,7655.59421024383,76.777
BLR,7994.64806074889,74.1033658536585
BLZ,7068.21728043145,72.19
BMU,119969.173269085,82.062
BOL,4219.46113742445,67.434
BRA,9281.33334441234,74.872
BRB,24393.2193483944,75.676
BRN,36632.9280952155,72.917
BTN,3711.32767981591,72.754
BWA,8328.7090572666,68.749
CAN,56496.9275340663,81.0948780487805
CHE,97809.095567203,83.6048780487805
CHI,67627.1417347907,81.0
CHL,15399.1044717559,79.176
CHN,12970.6056414327,78.202
CIV,2333.37128301259,61.562
CMR,1604.87726954895,62.443
COD,687.738587554685,60.979
COG,2620.83804267402,65.0
COL,6680.44506854481,76.508
COM,1533.87755393614,66.481
CPV,4323.31362032709,75.907
CRI,13971.7649991294,79.316
CUW,20057.1404960105,76.729
CYM,92937.8838323153,79.984
CYP,33231.05078125,80.434
CZE,28282.2236715857,78.9292682926829
DEU,50506.5179638543,80.6080487804878
DJI,3133.25779772463,65.54
DMA,9323.66089490562,71.081
DNK,67781.0940939514,81.3048780487805
DOM,10104.2464008585,74.211
DZA,4960.30334332888,76.129
ECU,6515.58528418336,76.577
EGY,4233.30783744856,71.01
ESP,30319.4987196616,83.1341463414634
EST,28340.3826549406,77.8439024390244
ETH,982.103161502198,66.897
FIN,50440.560224974,81.1878048780488
FJI,5414.12092119088,67.148
FRA,40988.6396406579,82.1292682926829
FRO,67069.3987440509,82.8162292682927
FSM,3703.66680343222,66.961
GAB,8409.20741452279,67.713
GBR,47034.7795621476,81.0112195121951
GEO,6729.84659930283,74.141
GHA,2229.89122654479,65.246
GIN,1416.59612011764,60.432
GMB,836.244875868476,64.859
GNB,881.602654162231,63.605
GNQ,7589.29964909381,63.355
GRC,20884.6773436263,80.7878048780488
GRD,10469.3867012856,75.151
GRL,55635.0006491223,71.230243902439
GTM,5356.92435887895,71.206
GUM,41833.1517132825,77.102
GUY,17913.4928066879,69.888
HKG,48825.0272275805,83.6609756097561
HND,3003.28996826399,72.715
HRV,18465.531473659,77.5756097560976
HTI,1748.40890116803,63.948
HUN,18428.028825614,75.8682926829268
IDN,4730.83484836107,70.925
IMN,88328.548125887,80.956
IND,2279.98145719369,71.698
IRL,105190.685952731,82.509756097561
IRN,4721.20437099984,76.799
IRQ,6520.73154560584,72.037
ISL,76376.9599334915,82.119512195122
ISR,54947.2091250715,82.7
ITA,35653.9042103495,82.7
JAM,6626.47502388538,71.481
JOR,4754.41362207378,77.088
JPN,35548.2645222433,83.9963414634146
KAZ,11255.3396437881,73.503
KEN,2109.56288513137,63.549
KGZ,1739.72018344174,72.0487804878049
KHM,2325.03050040841,70.528
KIR,2078.7648751855,66.269
KNA,21011.5744209816,70.313
KOR,34822.4048404971,82.6804878048781
KWT,39981.7691035833,80.5878048780488
LAO,2046.40440255621,68.715
LBN,3654.35845534878,78.003
LBR,744.617175237387,61.934
LBY,5986.63694851258,74.462
LCA,12976.1489693474,72.67
LIE,188055.003235348,84.1219512195122
LKA,3342.63650438046,77.3
