key,3PA per game (NBA league avg),Points per game (NBA league avg)
2025-26,37.0,115.6
2024-25,37.6,113.8
2023-24,35.1,114.2
2022-23,34.2,114.7
2021-22,35.2,110.6
2020-21,34.6,112.1
2019-20,34.1,111.8
2018-19,32.0,111.2
2017-18,29.0,106.3
2016-17,27.0,105.6
2015-16,24.1,102.7
2014-15,22.4,100.0
2013-14,21.5,101.0
2012-13,20.0,98.1
2011-12,18.4,96.3
2010-11,18.0,99.6
2009-10,18.1,100.4
2008-09,18.1,100.0
2007-08,18.1,99.9
2006-07,16.9,98.7
2005-06,16.0,97.0
2004-05,15.8,97.2
2003-04,14.9,93.4
2002-03,14.7,95.1
2001-02,14.7,95.5
2000-01,13.7,94.8
1999-00,13.7,97.5
1998-99,13.2,91.6
1997-98,12.7,95.6
1996-97,16.8,96.9
1995-96,16.0,99.5
1994-95,15.3,101.4
1993-94,9.9,101.5
1992-93,9.0,105.3
1991-92,7.6,105.3
1990-91,7.1,106.3
1989-90,6.6,107.0
1988-89,6.6,109.2
1987-88,5.0,108.2
1986-87,4.7,109.9
1985-86,3.3,110.2
1984-85,3.1,110.8
1983-84,2.4,110.1
1982-83,2.3,108.5
1981-82,2.3,108.6
1980-81,2.0,108.1
1979-80,2.8,109.3
