date,Wikipedia views of 'Nvidia' (daily avg),"NVDA dollar volume ($/day, avg)"
2015-07-01,1298.225806451613,119176736.26001315
2015-08-01,1282.6774193548388,241792625.2117384
2015-09-01,1271.9666666666667,172128016.20232493
2015-10-01,1384.4193548387098,238658502.4988001
2015-11-01,1533.2333333333333,271074555.7269454
2015-12-01,1406.4516129032259,204999201.1570822
2016-01-01,1532.9354838709678,304536277.58987325
2016-02-01,1478.5172413793102,312717800.0492096
2016-03-01,1448.258064516129,244389636.10028136
2016-04-01,1506.5333333333333,283940245.98422503
2016-05-01,1962.7096774193549,493459850.13145494
2016-06-01,1586.1666666666667,425646464.429812
2016-07-01,1516.1290322580646,467127466.01560116
2016-08-01,1529.225806451613,602732028.2165278
2016-09-01,1532.1,640112888.4446734
2016-10-01,1627.0645161290322,522120923.1866655
2016-11-01,1879.3666666666666,1252364754.0146055
2016-12-01,1939.9354838709678,2170773569.1363926
2017-01-01,2127.1935483870966,1727593756.597519
2017-02-01,2087.6785714285716,2012906144.655027
2017-03-01,1859.483870967742,1582464060.6789796
2017-04-01,1512.6,1248475624.477738
2017-05-01,2128.7096774193546,2766373700.0383463
2017-06-01,1973.7333333333333,3969353633.114555
2017-07-01,1766.6774193548388,3037884853.216791
2017-08-01,1769.9032258064517,2603482709.2795167
2017-09-01,1888.6333333333334,3139738892.318535
2017-10-01,2391.6774193548385,2467356124.2133923
2017-11-01,2574.4666666666667,2902427418.0761065
2017-12-01,2166.7096774193546,2395161250.8086205
2018-01-01,2707.1935483870966,3053681274.172465
2018-02-01,2507.035714285714,4529898946.926518
2018-03-01,2316.1290322580644,3955656009.4133105
2018-04-01,1928.9,2951766747.552781
2018-05-01,1936.516129032258,3336711009.787906
2018-06-01,1850.6333333333334,2643527973.8521576
2018-07-01,1745.8387096774193,1849653266.8728602
2018-08-01,2394.0,3048666847.979007
2018-09-01,1712.2333333333333,2246803825.182463
2018-10-01,1700.1935483870968,3244947605.0294795
2018-11-01,1865.5333333333333,3270224710.370745
2018-12-01,1616.032258064516,2339058629.936319
2019-01-01,2007.225806451613,2863801478.3992767
2019-02-01,1693.642857142857,2286165151.0087066
2019-03-01,1730.2903225806451,2403666268.573534
2019-04-01,1457.6,2077829248.307001
2019-05-01,1557.741935483871,2008990592.4291177
2019-06-01,1509.8,1526350616.8973923
2019-07-01,1570.1290322580646,1589365299.6898565
2019-08-01,1545.516129032258,1709685131.7612474
2019-09-01,1475.5333333333333,1398975235.425663
2019-10-01,1672.225806451613,1578080612.629849
2019-11-01,1982.8,1909638747.0255852
2019-12-01,1901.5806451612902,1741241933.7110972
2020-01-01,1939.7096774193549,1772561634.8992302
2020-02-01,2214.655172413793,4268220172.323026
2020-03-01,1884.7096774193549,4310317333.79416
2020-04-01,2553.6,3663569498.1087275
2020-05-01,2908.1612903225805,5221682700.204563
2020-06-01,2159.2,4001159677.738016
2020-07-01,2442.2580645161293,3743314322.038477
2020-08-01,2704.7419354838707,5538476188.02116
2020-09-01,6176.033333333334,9591019639.00212
2020-10-01,2910.1612903225805,4914765474.741329
2020-11-01,2748.8,5055653202.607536
2020-12-01,2842.0967741935483,3064971919.3668365
2021-01-01,2434.2258064516127,4272179401.799252
2021-02-01,2552.964285714286,4993958833.023874
2021-03-01,2229.5806451612902,4230832291.022425
2021-04-01,2665.766666666667,4821919124.9262495
2021-05-01,1874.4516129032259,5226246480.539894
2021-06-01,2106.2,8455848790.680625
2021-07-01,3009.967741935484,7250314867.30067
2021-08-01,2687.8387096774195,6041826715.214469
2021-09-01,2291.7,5187963222.653525
2021-10-01,2480.0,5246803830.446607
2021-11-01,3524.0333333333333,15717939036.469412
2021-12-01,2796.483870967742,14946670458.485603
2022-01-01,3098.7741935483873,13493538718.100452
2022-02-01,3629.0,13743048528.349024
2022-03-01,2717.8387096774195,12664921561.981365
2022-04-01,2543.733333333333,12069929311.442852
2022-05-01,2563.7419354838707,11649542571.274984
2022-06-01,2212.2,8489482564.836275
2022-07-01,2478.8709677419356,8610809762.630081
2022-08-01,2578.4193548387098,9233110416.166264
2022-09-01,3461.9333333333334,8220308153.778984
2022-10-01,2781.032258064516,7390135201.267742
2022-11-01,2871.766666666667,7689883999.936604
2022-12-01,2108.8387096774195,6933557906.997817
2023-01-01,2195.8387096774195,8221944933.383608
2023-02-01,2518.964285714286,12078125537.09773
2023-03-01,3074.1935483870966,12270776489.82504
2023-04-01,2653.633333333333,10592547114.8512
2023-05-01,7040.548387096775,17384080881.730686
2023-06-01,5477.0,20510416229.617344
2023-07-01,3981.8064516129034,19516665404.411316
2023-08-01,5717.967741935484,26892085442.281143
2023-09-01,5511.0,18956786193.91842
2023-10-01,4307.548387096775,20004110614.40416
2023-11-01,4725.066666666667,20662350586.79599
2023-12-01,5359.677419354839,17729040238.736916
2024-01-01,6081.290322580645,25939419774.415516
2024-02-01,16719.931034482757,40100316620.61958
2024-03-01,11840.387096774193,54116072750.16327
2024-04-01,6815.0,38842930826.68027
2024-05-01,8506.225806451614,42766666588.00021
2024-06-01,20799.366666666665,48378555652.19691
2024-07-01,6610.064516129032,35004278111.62473
2024-08-01,8099.5161290322585,42578841798.59255
2024-09-01,6939.6,35817074857.85065
2024-10-01,7433.806451612903,32600566148.425495
